Year,Emirate En,Emirate Ar,Geo Coordinates,Cancer Type,Age Group,Nationality Group En,Nationality Group Ar,Gender En,Gender Ar,Total
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(30-39),Expat,وافد,Male,ذكر,4
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(40-49),Expat,وافد,Male,ذكر,5
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(40-49),Citizen,مواطن,Male,ذكر,1
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(50-59),Expat,وافد,Female,أنثي,2
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(50-59),Expat,وافد,Male,ذكر,2
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(50-59),Citizen,مواطن,Female,أنثي,2
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(50-59),Citizen,مواطن,Male,ذكر,1
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(60-69),Expat,وافد,Female,أنثي,2
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(60-69),Expat,وافد,Male,ذكر,3
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(60-69),Citizen,مواطن,Male,ذكر,1
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(70-79),Expat,وافد,Female,أنثي,1
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E","C00-C14 Lip, Oral cavity & pharynx",(80+),Expat,وافد,Female,أنثي,1
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",C15 Esophagus,(60-69),Expat,وافد,Male,ذكر,2
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",C16 Stomach,(10-19),Expat,وافد,Male,ذكر,1
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",C16 Stomach,(20-29),Expat,وافد,Female,أنثي,2
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",C16 Stomach,(30-39),Expat,وافد,Female,أنثي,1
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",C16 Stomach,(30-39),Expat,وافد,Male,ذكر,2
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",C16 Stomach,(40-49),Expat,وافد,Female,أنثي,1
2011,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",C16 Stomach,(40-49),Expat,وافد,Male,ذكر,1
