Year,Emirate En,Emirate Ar,Geo Coordinates,Nationality Group En,Nationality Group Ar,Gender En,Gender Ar,Total
2011,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Female,انثي,32
2011,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Male,ذكر,59
2011,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Female,انثي,74
2011,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Male,ذكر,237
2011,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Female,انثي,212
2011,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Male,ذكر,320
2011,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Female,انثي,339
2011,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Male,ذكر,1082
2011,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Female,انثي,52
2011,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Male,ذكر,90
2011,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Female,انثي,23
2011,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Male,ذكر,94
2011,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Female,انثي,99
2011,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Male,ذكر,123
2011,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Female,انثي,46
2011,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Male,ذكر,187
2011,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Female,انثي,155
2011,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Male,ذكر,209
2011,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Female,انثي,220
2011,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Male,ذكر,720
2011,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Female,انثي,22
2011,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Male,ذكر,25
2011,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Female,انثي,7
2011,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Male,ذكر,37
2012,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Female,انثي,41
2012,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Male,ذكر,46
2012,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Female,انثي,99
2012,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Male,ذكر,256
2012,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Female,انثي,221
2012,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Male,ذكر,317
2012,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Female,انثي,365
2012,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Male,ذكر,1231
2012,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Female,انثي,64
2012,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Male,ذكر,75
2012,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Female,انثي,37
2012,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Male,ذكر,115
2012,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Female,انثي,93
2012,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Male,ذكر,138
2012,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Female,انثي,55
2012,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Male,ذكر,182
2012,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Female,انثي,128
2012,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Male,ذكر,202
2012,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Female,انثي,255
2012,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Male,ذكر,760
2012,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Female,انثي,11
2012,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Male,ذكر,36
2012,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Female,انثي,15
2012,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Male,ذكر,37
2013,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Female,انثي,364
2013,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Male,ذكر,568
2013,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Female,انثي,537
2013,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Male,ذكر,1546
2013,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Female,انثي,31
2013,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Male,ذكر,43
2013,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Female,انثي,88
2013,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Male,ذكر,262
2013,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Female,انثي,241
2013,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Male,ذكر,339
2013,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Female,انثي,443
2013,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Male,ذكر,1282
2013,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Female,انثي,55
2013,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Male,ذكر,91
2013,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Female,انثي,23
2013,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Male,ذكر,110
2013,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Female,انثي,100
2013,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Male,ذكر,137
2013,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Female,انثي,59
2013,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Male,ذكر,186
2013,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Female,انثي,146
2013,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Male,ذكر,196
2013,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Female,انثي,270
2013,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Male,ذكر,796
2013,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Female,انثي,11
2013,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Male,ذكر,18
2013,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Female,انثي,20
