Year,Indecator_Ar,Indecator_En,Type_AR,Type_EN,Value
2009, الوفيـات حسب النوع, Deaths by Sex,إنــاث,Females,"1,940"
2010, الوفيـات حسب النوع, Deaths by Sex,إنــاث,Females,"2,129"
2011, الوفيـات حسب النوع, Deaths by Sex,إنــاث,Females,"2,096"
2012, الوفيـات حسب النوع, Deaths by Sex,إنــاث,Females,"2,250"
2013, الوفيـات حسب النوع, Deaths by Sex,إنــاث,Females,"2,388"
2014, الوفيـات حسب النوع, Deaths by Sex,إنــاث,Females,"2,417"
2015, الوفيـات حسب النوع, Deaths by Sex,إنــاث,Females,"2,555"
2009, الوفيـات حسب النوع, Deaths by Sex,ذكـور,Males,"5,849"
2010, الوفيـات حسب النوع, Deaths by Sex,ذكـور,Males,"5,285"
2011, الوفيـات حسب النوع, Deaths by Sex,ذكـور,Males,"5,254"
2012, الوفيـات حسب النوع, Deaths by Sex,ذكـور,Males,"5,452"
2013, الوفيـات حسب النوع, Deaths by Sex,ذكـور,Males,"5,627"
2014, الوفيـات حسب النوع, Deaths by Sex,ذكـور,Males,"5,843"
2015, الوفيـات حسب النوع, Deaths by Sex,ذكـور,Males,"6,200"
2014, الوفيـات حسب النوع, Deaths by Sex,غير مبين,Not-Stated,5
