Year,Region_AR,Region_EN,Birth_Status_AR,Birth_Status_EN,Nationality_AR,Nationality_EN,Delivery_Condition_AR,Delivery_Condition_EN,Delivery_Method_AR,Delivery_Method_EN,Births,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,749,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,مواطن,Citizen,طبیعیة,Spontaneous,مقعدة,Breech,7,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,13,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,قیصرية,Caesarean,137,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اخري,Other,22,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,مواطن,Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,مواطن,Citizen,الجملة,Total,الجملة,Total,928,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,رأسي,Vertex,892,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,مقعدة,Breech,4,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,26,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,قیصرية,Caesarean,265,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اخري,Other,21,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,4,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,غیر مواطن,Non-Citizen,الجملة,Total,الجملة,Total,"1,212",,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,المواليد الأحياء,Livebirth,الجملة,Total,الجملة,Total,الجملة,Total,"2,140",,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,مواطن,Citizen,طبیعیة,Spontaneous,رأسي,Vertex,6,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,مواطن,Citizen,طبیعیة,Spontaneous,مقعدة,Breech,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,شفط,Vac Extraction,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,قیصرية,Caesarean,2,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,اخري,Other,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,مواطن,Citizen,بتدخل,Assisted,اكثر من طريقة,More than One Method,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,مواطن,Citizen,-,-,الجملة,Total,8,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,رأسي,Vertex,8,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,طبیعیة,Spontaneous,مقعدة,Breech,1,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,شفط,Vacuum Extraction,1,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,جفت,Forceps,0,,,,,,,,,,,,,,,,,,,,
2002,أبو ظبي,Abu Dhabi,ولادة جنين ميت,Stillbirth,غیر مواطن,Non-Citizen,بتدخل,Assisted,قیصرية,Caesarean,1,,,,,,,,,,,,,,,,,,,,
