Year,Medical_District_AR,Medical_District_EN,Cause_of_Death_AR,Nationality_AR,Cause_of_Death_EN,Nationality_EN,Sex_AR,Sex_EN,Value,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,مواطن,Infectious and Parasitic Diseases,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,مواطن,Infectious and Parasitic Diseases,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,غیر مواطن,Infectious and Parasitic Diseases,Non-Citizen,ذ,M,4,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,غیر مواطن,Infectious and Parasitic Diseases,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,جملة,Infectious and Parasitic Diseases,Total,جملة,Total,4,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,مواطن,Intestinal Infectious Diseases,Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,مواطن,Intestinal Infectious Diseases,Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,غیر مواطن,Intestinal Infectious Diseases,Non-Citizen,ذ,M,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,غیر مواطن,Intestinal Infectious Diseases,Non-Citizen,ا,F,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,جملة,Intestinal Infectious Diseases,Total,جملة,Total,0,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الــــــدرن,مواطن,Tuberculosis,Citizen,ذ,M,1,,,,,,,,,
2002,أبــو ظبــي,Abu Dhabi,الــــــدرن,مواطن,Tuberculosis,Citizen,ا,F,0,,,,,,,,,
