Year,Medical_District_AR,Medical_District_EN,Cause_of_Death_AR,Cause_of_Death_EN,Nationality_AR,Nationality_EN,Sex_AR,Sex_EN,Value,
2005,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,غیر مواطن,Non-Citizen,ذ,M,1,
2005,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,جملة,Total,جملة,Total,1,
2005,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,مواطن,Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,غیر مواطن,Non-Citizen,ذ,M,2,
2005,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,غیر مواطن,Non-Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,جملة,Total,جملة,Total,4,
2005,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,Meningococcal Infection,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,Meningococcal Infection,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,Meningococcal Infection,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,Meningococcal Infection,غیر مواطن,Non-Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,Meningococcal Infection,جملة,Total,جملة,Total,1,
2005,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,Tetanus,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,Tetanus,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,Tetanus,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,Tetanus,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,التیتانوس-الكزاز,Tetanus,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,التسمم الدموي,Septicaemia,مواطن,Citizen,ذ,M,7,
2005,أبــو ظبــي,Abu Dhabi,التسمم الدموي,Septicaemia,مواطن,Citizen,ا,F,3,
2005,أبــو ظبــي,Abu Dhabi,التسمم الدموي,Septicaemia,غیر مواطن,Non-Citizen,ذ,M,10,
2005,أبــو ظبــي,Abu Dhabi,التسمم الدموي,Septicaemia,غیر مواطن,Non-Citizen,ا,F,6,
2005,أبــو ظبــي,Abu Dhabi,التسمم الدموي,Septicaemia,جملة,Total,جملة,Total,26,
2005,أبــو ظبــي,Abu Dhabi,الجدري,Smallpox,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الجدري,Smallpox,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الجدري,Smallpox,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الجدري,Smallpox,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الجدري,Smallpox,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,الحصبه,Measles,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الحصبه,Measles,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الحصبه,Measles,غیر مواطن,Non-Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الحصبه,Measles,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الحصبه,Measles,جملة,Total,جملة,Total,0,
2005,أبــو ظبــي,Abu Dhabi,الملاريا,Malaria,مواطن,Citizen,ذ,M,0,
2005,أبــو ظبــي,Abu Dhabi,الملاريا,Malaria,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الملاريا,Malaria,غیر مواطن,Non-Citizen,ذ,M,1,
2005,أبــو ظبــي,Abu Dhabi,الملاريا,Malaria,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,الملاريا,Malaria,جملة,Total,جملة,Total,1,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,Malignant Neoplasm of the Stomach,مواطن,Citizen,ذ,M,3,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,Malignant Neoplasm of the Stomach,مواطن,Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,Malignant Neoplasm of the Stomach,غیر مواطن,Non-Citizen,ذ,M,4,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,Malignant Neoplasm of the Stomach,غیر مواطن,Non-Citizen,ا,F,1,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمعدة,Malignant Neoplasm of the Stomach,جملة,Total,جملة,Total,9,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,Malignant Neoplasm of the Colon,مواطن,Citizen,ذ,M,4,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,Malignant Neoplasm of the Colon,مواطن,Citizen,ا,F,4,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,Malignant Neoplasm of the Colon,غیر مواطن,Non-Citizen,ذ,M,5,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,Malignant Neoplasm of the Colon,غیر مواطن,Non-Citizen,ا,F,4,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقولون,Malignant Neoplasm of the Colon,جملة,Total,جملة,Total,17,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,Malignant Neoplasm of the Rectum,مواطن,Citizen,ذ,M,2,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,Malignant Neoplasm of the Rectum,مواطن,Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,Malignant Neoplasm of the Rectum,غیر مواطن,Non-Citizen,ذ,M,3,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,Malignant Neoplasm of the Rectum,غیر مواطن,Non-Citizen,ا,F,0,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالمستقیم او الشرج,Malignant Neoplasm of the Rectum,جملة,Total,جملة,Total,5,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",مواطن,Citizen,ذ,M,9,
2005,أبــو ظبــي,Abu Dhabi,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",مواطن,Citizen,ا,F,2,
