Year,Medical_District_AR,Medical_District_EN,Cause_of_Death_AR,Cause_of_Death_EN,Nationality_AR,Nationality_EN,Sex_AR,Sex_EN,Value,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,مواطن,Citizen,ذ,M,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,مواطن,Citizen,ا,F,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,غیر مواطن,Non-Citizen,ذ,M,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,غیر مواطن,Non-Citizen,ا,F,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,جملة,Total,جملة,Total,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,مواطن,Citizen,ذ,M,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,مواطن,Citizen,ا,F,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,غیر مواطن,Non-Citizen,ذ,M,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,غیر مواطن,Non-Citizen,ا,F,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,امراض الامعاء المعدية,Intestinal Infectious Diseases,جملة,Total,جملة,Total,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,مواطن,Citizen,ذ,M,1,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,مواطن,Citizen,ا,F,1,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,غیر مواطن,Non-Citizen,ذ,M,5,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,غیر مواطن,Non-Citizen,ا,F,1,,,,,,
2008,أبــو ظبــي,Abu Dhabi,الــــــدرن,Tuberculosis,جملة,Total,جملة,Total,8,,,,,,
2008,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,مواطن,Citizen,ذ,M,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,مواطن,Citizen,ا,F,1,,,,,,
2008,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,غیر مواطن,Non-Citizen,ذ,M,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,غیر مواطن,Non-Citizen,ا,F,0,,,,,,
2008,أبــو ظبــي,Abu Dhabi,السعال الديكي,Whooping Cough,جملة,Total,جملة,Total,1,,,,,,
2008,أبــو ظبــي,Abu Dhabi,عدوى بالمكورات السحائیــــة,Meningococcal Infection,مواطن,Citizen,ذ,M,0,,,,,,
