Year,Emirate En,Emirate Ar,Geo Coordinates,Sector En,Sector Ar,Total Beds,Total Hospitals
2018,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Government,حكومي,3185,16
2018,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Private,خاص,3175,45
2018,Dubai,دبي,"25.2048° N, 55.2708° E",Government,حكومي,1585,6
2018,Dubai,دبي,"25.2048° N, 55.2708° E",Private,خاص,2698,30
2018,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Government,حكومي,851,8
2018,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Private,خاص,539,17
2018,Ajman,عجمان,"25.4052° N, 55.5136° E",Government,حكومي,215,4
2018,Ajman,عجمان,"25.4052° N, 55.5136° E",Private,خاص,177,3
2018,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Government,حكومي,260,2
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Government,حكومي,613,6
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Private,خاص,84,3
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Government,حكومي,334,3
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Private,خاص,95,2
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Government,حكومي,3210,16
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Private,خاص,2622,44
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Government,حكومي,1687,6
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Private,خاص,2544,31
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Government,حكومي,929,8
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Private,خاص,558,16
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Government,حكومي,227,4
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Private,خاص,177,2
2017,Umm Al Quwain,أم القيوين,"25.5426° N, 55.5475° E",Government,حكومي,241,2
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Government,حكومي,690,6
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Private,خاص,84,3
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Government,حكومي,373,3
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Private,خاص,95,2
2016,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Government,حكومي,2793,15
2016,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Private,خاص,2447,41
2016,Dubai,دبي,"25.2048° N, 55.2708° E",Government,حكومي,1685,6
2016,Dubai,دبي,"25.2048° N, 55.2708° E",Private,خاص,2420,30
2016,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Government,حكومي,955,6
2016,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Private,خاص,445,15
